,ra,dec,hwmag,gal_l,gal_b
0,266.39176393714985,-28.864263215206055,15.251596641974281,0.05534703429266662,0.04735446357229149
1,266.3881314136682,-28.741394313979992,18.986833728775682,0.15855363286459187,0.11410264320424893
2,266.3145630976822,-28.716446912795167,15.385005781116678,0.14620383927949315,0.1821592101099778
3,266.3082150589018,-28.65659915160217,17.94947525488397,0.19435684287459512,0.21813258214345776
4,266.32359326563517,-28.71972578786648,17.67995154991168,0.14753753281251708,0.17369225541467137
5,266.2538214539948,-28.75964986744714,17.84447287623668,0.08155486226597777,0.2050430759850816
6,266.48394674208726,-28.72274257760797,17.94420444587728,0.21823333275218343,0.052092163333507094
7,266.34267398298425,-28.81094631609003,15.71736099842117,0.07842912843182681,0.11184562049218268
8,266.2843741329473,-28.732831823405213,17.27746659990548,0.11841242869067617,0.19619411173257234
9,266.39508926837084,-28.867057604798816,18.86352534345357,0.054479625259167073,0.04341276824414051
10,266.3391731463804,-28.728328218888716,17.332388091400478,0.14732363283039238,0.1575483627341726
11,266.3138607059793,-28.70044544046723,16.14895330825757,0.1595340692807678,0.191032399387131
12,266.3404914219582,-28.841210028719317,18.82110097396288,0.05160911262731045,0.09769508540933293
13,266.410102526308,-28.920312083375673,18.173770671727173,0.015874254479640054,0.004445606336364181
14,266.3500719042394,-28.725171448125508,18.81738245533237,0.15500103795789752,0.15103943103297446
15,266.42561900657586,-28.802353900712532,19.78306671198208,0.12364193469467917,0.05429467438335791
16,266.41824422903954,-28.719210150144605,17.77572881573328,0.19124701145476372,0.10312337424994115
17,266.3974044522025,-28.68428377391472,17.07263952065088,0.21153498246542637,0.13692251416211773
18,266.25414076057586,-28.785444284602182,16.895284039619973,0.05970141388611615,0.19133677079709532
19,266.4252174340968,-28.78791329386534,18.76148903374068,0.13578555326104738,0.062116928040399484
20,266.40838247250633,-28.69423704264827,17.93870065866708,0.2080573340556214,0.1235166730488678
21,266.3237356074101,-28.65188755737122,17.56087693263877,0.20548153325295382,0.20897073992388282
22,266.26026918974225,-28.852499742941284,19.65373644127988,0.005313600275574105,0.15174816932882873
23,266.318272298899,-28.701901209110293,14.259211796379079,0.1603106977017026,0.18697165106262703
24,266.3637569739968,-28.87602195097531,17.855503806830882,0.03252824290580235,0.0621566008762694
25,266.3747017533166,-28.760839272918105,15.89575584770128,0.13582196997200924,0.11401636928472375
26,266.4254353703722,-28.70137118810299,17.87172869241428,0.20976001836732522,0.10703199563752322
27,266.304351310753,-28.833286414437882,17.74602719146597,0.041855534590158665,0.12883849685362342
28,266.2415289954006,-28.764181589663817,17.797655352797573,0.07206320644624742,0.21186701437243574
29,266.2826834821768,-28.759353818965,18.37324672320917,0.09501524373342977,0.18361670354574455
30,266.5092359792179,-28.769744494904547,18.54984029635828,0.18963441281624133,0.008699720214745311
31,266.46505757233314,-28.802936807341183,18.42026515984448,0.1411407178470351,0.024487213370219897
32,266.3912698044636,-28.743185642600896,18.28645769513268,0.1584588024851972,0.11082060161851393
33,266.3572497900344,-28.872160415883908,16.016375678614278,0.03285268800392759,0.06903235656429553
34,266.44915049954386,-28.82113757467306,17.740204057609972,0.11834468191838557,0.026910605169119067
35,266.38458270025336,-28.7237285269971,17.71129788260148,0.1720089448831563,0.125965127106893
36,266.3759618293804,-28.918792149515557,16.07608945565248,0.0015988201422062695,0.030742678663047807
37,266.28135656375736,-28.747578473870373,12.578122020314769,0.10445252366651081,0.19075468167197857
38,266.457192363731,-28.815272886371204,18.90713461302868,0.12702034358158504,0.023948798744822555
39,266.34390886220024,-28.870423339934153,17.90253715251037,0.02824330558463978,0.07990697986816986
40,266.3220076450472,-28.639297340711476,18.77830858313317,0.2154323461428327,0.21683177708651466
41,266.36719494004774,-28.67325441926086,15.25317657029797,0.2071345476094632,0.16529010392487323
42,266.38181073442695,-28.895549837987495,19.29369789521588,0.02410308196323724,0.03848731667468813
43,266.44957507271965,-28.707012638465038,16.88598685750608,0.21597087965425565,0.08601877045102942
44,266.4014460037668,-28.7868912630049,17.84887827229008,0.12580429027708187,0.08043241800772488
45,266.38692984356777,-28.81558454407368,17.885579578216483,0.09468607046423455,0.07633698054366207
